co9300 do1098 hu9884 mo7601 ra1558 
co5200 do8302 hu10034 mo6171 ra350 
co3311 do6746 hu3565 mo17040 ra2030 
co8172 do342 hu980 mo8456 ra1118 
co11837 do9617 hu8865 mo8585 ra10079 
co9009 do73 hu4526 mo17098 ra1924 
co6253 do2028 hu4688 mo6147 ra5358 
co10695 do6727 hu7041 mo2780 ra5878 
co2022 do2893 hu11648 mo3926 ra4210 
co11858 do5785 hu3464 mo5488 ra12101 
co6698 do3927 hu5420 mo479 ra6031 
co2423 do2326 hu666 mo7428 ra15648 
co4228 do2682 hu5574 mo3896 ra270 
co1204 do1973 hu4410 mo4234 ra2069 
co3746 do4025 hu2902 mo9881 ra9270 
co9036 do4026 hu6711 mo9795 ra5929 
co14759 do3154 hu1377 mo5498 ra4283 
co3414 do1186 hu1619 mo119 ra503 
co7711 do8321 hu9224 mo5210 ra2529 
co3904 do8618 hu4862 mo3139 ra5853 
co1898 do722 hu5145 mo4134 ra7276 
co6147 do8349 hu6902 mo4791 ra4681 
co11296 do3294 hu7381 mo1259 ra2116 
co7978 do2670 hu2279 mo6729 ra6941 
co6979 do7081 hu4167 mo1287 ra5055 
co9553 do9014 hu9735 mo5761 ra9913 
co7535 do4178 hu4891 mo844 ra5483 
co7591 do4029 hu4359 mo12086 ra5074 
co5134 do501 hu1420 mo7489 ra7536 
co5337 do6471 hu975 mo3943 ra4438 
co8664 do5189 hu1857 mo8922 ra1710 
co10335 do5373 hu9555 mo11695 ra10066 
co8379 do865 hu3739 mo6109 ra2839 
co5625 do10387 hu10490 mo6826 ra3208 
co6293 do7606 hu6843 mo8524 ra1048 
co2854 do7329 hu4824 mo1822 ra6404 
co4288 do2030 hu2520 mo2414 ra2380 
co7228 do2591 hu8580 mo3058 ra149 
co6184 do9724 hu550 mo6567 ra3495 
co922 do2083 hu10026 mo9550 ra322 
co5774 do5377 hu847 mo4157 ra1612 
co240 do13 hu1179 mo1464 ra1081 
co6966 do3569 hu678 mo4759 ra3501 
co2426 do4638 hu2839 mo3155 ra3960 
co6486 do4427 hu6831 mo3626 ra8380 
co623 do4189 hu3437 mo1039 ra3148 
co10527 do8587 hu13250 mo4049 ra9059 
co3526 do7005 hu6177 mo10032 ra7783 
co2768 do1861 hu5044 mo990 ra890 
co572 do6583 hu7755 mo7996 ra6060 
co3268 do9701 hu1075 mo693 ra4822 
co1621 do5093 hu9016 mo6340 ra409 
co2200 do4149 hu5018 mo8622 ra7561 
co7771 do8088 hu5469 mo9876 ra5250 
co9992 do13653 hu5319 mo13657 ra14094 
co10262 do4340 hu5318 mo7641 ra6157 
co1691 do9415 hu12107 mo17188 ra5804 
co3388 do1889 hu1413 mo9983 ra7389 
co10074 do4332 hu3529 mo5024 ra6577 
co4580 do5036 hu1079 mo567 ra3317 
co2360 do469 hu5768 mo2275 ra7732 
co7081 do3344 hu3748 mo8382 ra5156 
co8903 do8822 hu3451 mo3317 ra3432 
co6299 do491 hu9672 mo5989 ra6175 
co4904 do5158 hu612 mo6081 ra1280 
co5412 do9131 hu6356 mo5874 ra5875 
co6285 do11550 hu13080 mo17329 ra9240 
co4867 do177 hu3165 mo1724 ra3239 
co196 do3207 hu1674 mo1204 ra1250 
co97 do128 hu4772 mo1687 ra5063 
co3442 do1066 hu9269 mo7079 ra3104 
co3081 do8488 hu4978 mo8853 ra2610 
co1675 do5355 hu2018 mo5432 ra2862 
co3216 do244 hu9499 mo7435 ra10655 
co13611 do1468 hu10993 mo6113 ra6427 
co311 do1167 hu599 mo369 ra221 
co5506 do4304 hu6080 mo9301 ra1388 
co1740 do1677 hu4911 mo4261 ra881 
co3448 do929 hu1321 mo6635 ra7993 
co6991 do9460 hu6192 mo7966 ra8161 
co6213 do781 hu2772 mo620 ra4396 
co746 do4312 hu4525 mo7789 ra8578 
co8779 do11736 hu5822 mo4244 ra7364 
co4548 do1652 hu246 mo618 ra3126 
co5197 do1344 hu5888 mo7189 ra2932 
co4727 do12945 hu15746 mo10497 ra7870 
co5687 do6323 hu9563 mo3676 ra3431 
co2271 do1732 hu3218 mo477 ra7499 
co7220 do1888 hu965 mo3010 ra8007 
co536 do1476 hu6125 mo4456 ra1861 
co6572 do10126 hu10670 mo9621 ra10622 
