co1448 do10365 hu4386 mo292 ra1747 
co411 do3290 hu455 mo5129 ra1176 
co730 do2963 hu456 mo2719 ra449 
co7181 do1170 hu516 mo2571 ra1746 
co5658 do908 hu1739 mo2796 ra1076 
co5446 do2701 hu2447 mo7882 ra1075 
co485 do7309 hu4012 mo786 ra4954 
co7219 do119 hu7474 mo2984 ra5127 
co7482 do8121 hu8778 mo3304 ra6148 
co4555 do2724 hu5268 mo3625 ra838 
co12418 do4555 hu10501 mo7472 ra5277 
co7247 do3743 hu5741 mo5126 ra4924 
co10355 do4801 hu5862 mo6869 ra1943 
co269 do866 hu520 mo916 ra522 
co1208 do3738 hu701 mo5189 ra2695 
co410 do1429 hu4376 mo3516 ra969 
co4648 do4568 hu9179 mo2889 ra5240 
co10122 do6850 hu6031 mo2720 ra5464 
co5489 do6063 hu1669 mo854 ra6731 
co5781 do2293 hu3489 mo4899 ra100 
co5139 do5048 hu2911 mo3244 ra1262 
co4649 do4323 hu5790 mo8025 ra3271 
co4383 do11157 hu8032 mo1045 ra801 
co4783 do4093 hu1434 mo465 ra2561 
co5043 do1606 hu5131 mo443 ra1136 
co10213 do48 hu2089 mo6865 ra6546 
co1386 do4628 hu2701 mo3306 ra2979 
co9716 do708 hu4821 mo2815 ra3504 
co237 do3226 hu5616 mo1943 ra7092 
co4285 do4302 hu2702 mo6052 ra8018 
co3832 do637 hu709 mo8402 ra4062 
co10922 do3677 hu9513 mo5679 ra1157 
co11031 do4487 hu7358 mo5346 ra1965 
co8035 do2603 hu1402 mo10707 ra2808 
co8814 do3678 hu6774 mo5635 ra5548 
co4725 do6392 hu1967 mo3426 ra7034 
co9700 do2625 hu5550 mo17322 ra2576 
co14760 do14493 hu7956 mo2747 ra1406 
co6981 do6571 hu9820 mo9524 ra357 
co4911 do6158 hu6654 mo6651 ra1405 
co12552 do2104 hu11899 mo10822 ra9957 
co2386 do5909 hu7258 mo6482 ra2098 
co272 do8213 hu1832 mo2045 ra9936 
co11907 do6933 hu4052 mo9844 ra1980 
co8912 do5496 hu12175 mo4996 ra534 
co3242 do4069 hu1108 mo392 ra631 
co1432 do1296 hu1639 mo3833 ra2389 
co5168 do9432 hu5682 mo4138 ra2601 
co7432 do3449 hu856 mo763 ra632 
co5089 do5701 hu4664 mo5180 ra3716 
co1127 do8783 hu1648 mo11933 ra7715 
co9595 do4281 hu6060 mo5342 ra2921 
co2642 do1708 hu1217 mo783 ra4167 
co9088 do8996 hu8850 mo3612 ra4328 
co10723 do9559 hu4143 mo6625 ra6547 
co6362 do9251 hu8216 mo7852 ra13181 
co9831 do787 hu4085 mo5168 ra1344 
co2845 do4556 hu9904 mo8538 ra2420 
co10115 do1995 hu5623 mo6679 ra7226 
co6133 do8520 hu5224 mo7024 ra450 
co7774 do9345 hu10912 mo10465 ra8736 
co5613 do7957 hu2315 mo7141 ra686 
co4705 do1736 hu5957 mo3610 ra1891 
co5614 do6974 hu15648 mo9915 ra685 
co1053 do9474 hu7849 mo11616 ra8555 
co2038 do5917 hu948 mo438 ra5628 
co5449 do1935 hu1733 mo9273 ra7961 
co286 do219 hu3167 mo853 ra2229 
co185 do4117 hu5379 mo9198 ra2849 
co2582 do1620 hu6346 mo676 ra5197 
co1609 do313 hu2934 mo1564 ra997 
co10645 do1596 hu7773 mo73 ra8431 
co5545 do8119 hu3518 mo6478 ra5067 
co2254 do2140 hu7101 mo9220 ra4398 
co1682 do710 hu5996 mo1533 ra4792 
