INTERACTOR_1	INTERACTOR_2
co236	co2065
co2066	co815
co2067	co1600
co2068	co2069
co1046	co2070
co2071	co1148
co2072	co884
co2073	co2074
co403	co1048
co2075	co2076
co2077	co2078
co1936	co278
co2079	co2080
co1780	co1283
co204	co1345
co899	co2081
co211	co2082
co2083	co1992
co2084	co612
co2085	co529
co2086	co2087
co1151	co2088
co96	co196
co480	co2089
co2090	co2091
co2092	co2093
co17	co2094
co2095	co1469
co329	co1941
co2096	co2097
co67	co377
co2098	co2099
co91	co2100
co2101	co2102
co109	co2103
co2104	co343
co96	co2105
co302	co1781
co2102	co2106
co1310	co1641
co2107	co2108
co2109	co165
co2110	co2111
co2112	co1938
co2113	co1831
co473	co2114
co2115	co2116
co2117	co331
co1045	co1302
co100	co1562
co2118	co2119
co626	co2120
co107	co293
co2121	co2122
co1738	co2123
co2124	co1050
co2125	co500
co42	co1581
co890	co2126
co2127	co522
co509	co141
co440	co120
co2128	co2129
co2130	co958
co2131	co2132
co2133	co1216
co2134	co2135
co2136	co2137
co1309	co2138
co2139	co2140
co2141	co2142
co2143	co2144
co1992	co668
co2145	co1271
co2146	co2147
co2148	co2149
co2150	co637
co2151	co468
co2152	co775
co2153	co2154
co72	co2155
co2156	co537
co2038	co1303
co2157	co2158
co2159	co2160
co2161	co165
co2162	co2163
co2164	co1797
co2165	co702
co1257	co2166
co2167	co165
co2168	co2169
co1045	co2170
co2171	co2172
co1498	co2173
co1660	co1748
co274	co2174
co2175	co1085
co853	co2176
co2177	co2178
co2179	co2180
co1260	co595
co2181	co2182
co1075	co1748
co2183	co1477
co2184	co1315
co2185	co1893
co47	co2186
co418	co2187
co2188	co2189
co2190	co2191
co2192	co2193
co2194	co2195
co270	co2196
co105	co1455
co2197	co2198
co2199	co1436
co1373	co2087
co2200	co2201
co1230	co2202
co633	co176
co2048	co2203
co1103	co2204
co2205	co2206
co2207	co2208
co583	co2209
co2210	co854
co316	co2211
co2212	co2213
co2214	co2215
co1567	co1938
co2216	co2217
co2006	co1337
co2218	co311
co2219	co1028
co2220	co218
co2221	co1938
co2222	co2223
co109	co250
co2224	co2225
co2226	co1452
co1946	co909
co2227	co2228
co2229	co1655
co2230	co2231
co2232	co1570
co2233	co1696
co433	co215
co2234	co165
co2235	co2236
co2237	co359
co2238	co46
co2239	co1379
co2240	co2241
co2242	co196
co1612	co1337
co327	co612
co987	co122
co2243	co2244
co2245	co409
co2246	co689
co2247	co286
co2248	co2249
co2250	co1419
co658	co2153
co2251	co1737
co1545	co2252
co1092	co722
co2253	co2254
co2140	co2255
co2256	co2024
co2257	co2258
co25	co953
co2259	co2260
co2261	co2262
co2263	co716
co509	co2264
co1703	co661
co2265	co2266
co1039	co221
co2267	co639
co100	co2087
co2268	co639
co290	co2269
co2270	co2271
co2272	co2273
co2274	co2275
co646	co2276
co2277	co2278
co586	co2279
co671	co192
co2280	co2281
co331	co2282
co2283	co2025
co2284	co2285
co2286	co2287
co539	co2288
co1133	co2289
co2290	co116
co2197	co2277
co2291	co2292
co2293	co2294
co1285	co2295
co2296	co2297
co67	co104
co2298	co67
co886	co2299
co2300	co2301
co949	co1085
co2302	co2303
co2304	co2305
co2306	co2307
co2148	co2308
co2309	co2310
co2311	co2312
co2313	co2314
co2315	co2316
co520	co1496
co2317	co2318
co2319	co72
co513	co2320
co1867	co2321
co2322	co1618
co2197	co954
co2323	co2324
co595	co2091
co17	co2123
co710	co702
co11	co2325
co890	co2326
co1788	co1738
co894	co364
co236	co2327
co2328	co206
co1226	co2329
co1362	co196
co1948	co2330
co165	co2331
co2332	co2235
co2333	co165
co375	co396
co2334	co1006
co2335	co2336
co2337	co728
co941	co2338
co67	co2339
co42	co2340
co344	co359
co2337	co2341
co2161	co2342
co2343	co2344
co841	co1369
co67	co2345
co2346	co119
co1225	co1696
co2347	co92
co2348	co2349
co274	co1653
co2350	co2351
co1114	co327
co2352	co2353
co2354	co2355
co2356	co631
co2357	co2358
co723	co1570
co2359	co1173
co2360	co1562
co1356	co2361
co1482	co2362
co807	co104
co1094	co1627
co2363	co2364
co2365	co2366
co2367	co2259
co192	co2368
co25	co2369
co2370	co1124
co2371	co340
co363	co2372
co2373	co2374
co2375	co2376
co1050	co695
co2377	co2378
co25	co2379
co2048	co2380
co1286	co1842
co2381	co218
co2382	co2180
co2383	co1065
co731	co2357
co1900	co2284
co447	co2384
co89	co2385
co2386	co1038
co2387	co1283
co317	co2388
co2389	co888
co284	co2390
co2391	co2180
co2392	co1658
co1222	co2393
co1660	co2394
co2395	co1028
co2396	co218
co2397	co2398
co2308	co2399
co2400	co193
co2401	co1781
co646	co491
co2402	co2403
co25	co1772
co2404	co435
co2405	co906
co2406	co1276
co2407	co1546
co2408	co2409
co1382	co1461
co2239	co2410
co2411	co1664
co859	co2016
co1126	co2412
co509	co2413
co1633	co2414
co2415	co2416
co2417	co2418
co2419	co1741
co467	co522
co1371	co499
co2420	co2421
co1886	co2147
co2422	co592
co47	co956
co49	co129
co2134	co2423
co2424	co2425
co2426	co625
co2427	co67
co2428	co2305
co2429	co2430
co2431	co1478
co2432	co2433
co2434	co2435
co62	co2436
co511	co116
co1371	co1876
co2437	co120
co72	co88
co2438	co104
co2439	co1398
co2440	co52
co2441	co2442
co2443	co2444
co2445	co2446
co2447	co1641
co278	co330
co62	co2448
co2449	co2450
co2451	co2452
co2453	co2292
co2020	co2454
co594	co382
co300	co2455
co2237	co2456
co2457	co212
co298	co2048
co2458	co2459
co2460	co2329
co1498	co2461
co853	co2462
co2317	co991
co1816	co2050
co2463	co2464
co455	co2465
co2466	co2011
co474	co28
co1180	co2467
co2468	co2469
co2470	co675
co2471	co2472
co2473	co382
co1441	co522
co737	co1179
co1845	co1019
co2474	co2239
co368	co141
co1775	co2475
co2476	co2277
co2477	co18
co2478	co2479
co402	co194
co661	co603
co2480	co1931
co652	co474
co2481	co2482
co2483	co2484
co2485	co2486
co2487	co408
co2488	co2019
co1563	co1299
co43	co2489
co1136	co2490
co2491	co2492
co2493	co384
co144	co2494
co2495	co2496
co768	co2497
co2498	co2499
co2500	co2501
co2323	co19
co1443	co2502
co2503	co1113
co2504	co2505
co2506	co2507
co2508	co1148
