rt6410	hu6870	mo17252
mo14471	hu12542
hu15320	mo1428	rt6550
mo13353	hu16670	rt1955
mo8725	hu1944	rt10185
hu332	mo3618	rt10303
hu7689	mo6063	rt5205
rt1253	hu4022	mo5073
mo1995	hu7606	rt170
hu8125	mo14901	rt15121
rt11803	hu10665	mo9122
mo9218	rt5980
hu5162	mo1762	rt26
hu16792	mo16742
rt12532	hu15752	mo7152
rt9061	hu5950	mo8255
mo7659	hu15917	rt1675
hu11101	mo6965	rt15694
hu10497	mo7716	rt12010
hu1909	mo7412	rt4753
rt15441	mo16764
mo6500	hu1992	rt4952
hu8499	mo9277	rt10685
rt13150	hu11523	mo15409
hu8657	rt985
rt1834	hu1362	mo3250
hu4639	mo1189	rt4382
hu9976	mo6089	rt12868
rt1171	hu1456	mo2899
mo284	hu1463	rt3719
mo16246	hu3303	rt15529
hu9218	rt991
mo11376	hu15195
rt538	hu14792	mo13317
hu15699	mo16101	rt11939
hu13073	mo10429	rt9383
hu5322	mo5880	rt6085
hu10140	mo12479	rt10984
mo16795	hu17112
hu1035	mo2378	rt4003
mo9618	hu10069	rt4526
rt13540	mo15240
mo2186	hu4262	rt2132
mo249	hu3743	rt828
mo11221	hu14201
mo1909	hu7766	rt8605
hu9709	mo1674
hu10989	mo2668	rt6616
mo12968	hu14331	rt9133
mo4730	hu8176	rt4985
rt12433	hu4641	mo8947
hu8543	mo8680	rt10182
rt11548	hu3269	mo11033
mo1020	hu8818
mo8687	hu10654	rt3069
rt9746	hu6330	mo12374
hu10564	mo2463	rt7111
mo5467	hu8875	rt2273
rt3374	hu13704
mo6307	hu1566	rt1271
hu4525	mo12518
rt8165	hu9251	mo10252
mo11676	hu12810	rt8060
rt6432	hu7750	mo11914
mo3918	hu10231	rt6531
rt14327	hu12588	mo13598
hu6980	mo1705	rt7827
hu133	mo10619	rt5762
mo9852	hu11964
rt8186	hu14028	mo10702
rt10670	hu15445	mo11308
mo5247	hu272	rt2081
mo6955	hu3410	rt1766
mo9988	hu2187	rt3709
mo9436	hu15335
mo7110	rt7899
rt8461	hu9613	mo12465
rt2885	hu11241	mo7769
rt11554	hu15520
rt943	hu6772	mo5013
mo13661	hu17464	rt13873
hu3756	mo3959	rt6269
hu10976	mo7870	rt10264
rt10027	hu5365	mo4071
hu2467	mo2745	rt3534
hu12933	mo5764
mo12256	hu5931	rt10483
hu5031	mo6687	rt9612
mo1767	rt15119
mo16307	hu13656
mo14437	hu6653	rt7728
hu4785	mo3251	rt4597
hu9014	mo11251	rt2402
mo10414	hu16878
hu2033	mo3480	rt3856
mo12791	hu11841	rt13289
rt9796	hu5884	mo2803
hu10808	mo5663	rt5091
mo1000	hu12240
rt13924	mo15006
mo12466	hu7162	rt8095
mo4319	hu12140	rt8949
hu4145	mo379	rt3656
hu10541	mo9286	rt776
mo14958	hu17489
mo16070	hu15402
rt5502	hu7024	mo17253
rt8506	hu11788	mo11108
mo12754	hu1153	rt13655
hu2207	mo2330	rt6185
hu12503	mo7457	rt11523
rt8485	hu16000	mo7414
mo12081	hu16262	rt7832
hu2345	mo14339	rt15206
rt5209	hu4572	mo3011
rt5778	hu9696	mo7067
rt13265	mo14322
mo8422	hu14749
rt14080	hu10356	mo6206
rt13393	hu16708	mo13324
mo305	hu11	rt1652
rt1756	hu2220	mo3349
rt9200	hu4801	mo9536
rt9895	hu13451	mo12675
rt14523	hu14904	mo7811
rt11522	hu9508	mo1107
hu10695	mo11228	rt9939
mo5999	hu14678	rt5018
mo8347	hu8934	rt10298
rt12440	hu14773	mo8469
rt443	hu645	mo3667
hu4215	mo2597	rt218
hu15298	mo17491	rt13987
hu4380	mo6048	rt8047
rt14740	hu13047	mo9735
mo13402	hu978
hu505	mo10463	rt5452
rt13255	hu15143	mo13540
hu7043	mo12806	rt1584
hu14143	mo15575	rt14442
hu3690	mo14589	rt1792
rt8752	hu9623	mo10030
rt2849	hu5379	mo9198
rt6132	hu2227	mo599
hu2684	mo5352
hu7194	mo7883	rt11306
hu9351	mo6740	rt5017
mo17022	hu17224	rt12743
hu909	rt5361
hu1785	mo6918	rt7063
hu7723	mo6144	rt6920
rt15112	mo16141
mo112	hu14617	rt3730
rt7969	hu9244	mo2467
rt14775	mo8215
rt15546	mo13127
